Date,Value
2022-07-15,105352.17994494297
2022-07-18,105368.57799729616
2022-07-19,105384.97860200395
2022-07-20,105401.3817594636
2022-07-21,105417.78747007248
2022-07-22,105434.19573422795
2022-07-25,105450.60655232749
2022-07-26,105467.01992476861
2022-07-27,105483.4358519489
2022-07-28,105499.85433426601
2022-07-29,105516.27537211764
2022-08-01,105532.69896590155
2022-08-02,105549.12511601558
2022-08-03,105565.55382285763
2022-08-04,105581.98508682565
2022-08-05,105598.41890831765
2022-08-08,105614.8552877317
2022-08-09,105631.29422546596
2022-08-10,105647.73572191861
2022-08-11,105664.17977748794
2022-08-12,105680.62639257226
2022-08-15,105697.07556756996
2022-08-16,105713.52730287949
2022-08-17,105729.98159889937
2022-08-18,105746.43845602816
2022-08-19,105762.8978746645
2022-08-22,105779.3598552071
2022-08-23,105795.82439805471
2022-08-24,105812.29150360616
2022-08-25,105828.76117226033
2022-08-26,105845.23340441617
2022-08-29,105861.70820047267
2022-08-30,105878.18556082892
2022-08-31,105894.66548588405
2022-09-01,105911.14797603725
2022-09-02,105927.63303168779
2022-09-05,105944.12065323498
2022-09-06,105960.61084107819
2022-09-07,105977.10359561688
2022-09-08,105993.59891725055
2022-09-09,106010.09680637877
2022-09-12,106026.59726340117
2022-09-13,106043.10028871744
2022-09-14,106059.60588272734
2022-09-15,106076.11404583068
2022-09-16,106092.62477842734
2022-09-19,106109.13808091727
2022-09-20,106125.65395370046
2022-09-21,106142.17239717698
2022-09-22,106158.69341174696
2022-09-23,106175.2169978106
2022-09-26,106191.74315576814
2022-09-27,106208.2718860199
2022-09-28,106224.80318896625
2022-09-29,106241.33706500764
2022-09-30,106257.87351454457
2022-10-03,106274.4125379776
2022-10-04,106290.95413570735
2022-10-05,106307.49830813453
2022-10-06,106324.04505565987
2022-10-07,106340.5943786842
2022-10-10,106357.14627760838
2022-10-11,106373.70075283336
2022-10-12,106390.25780476014
2022-10-13,106406.81743378978
2022-10-14,106423.3796403234
2022-10-17,106439.9444247622
2022-10-18,106456.51178750742
2022-10-19,106473.08172896039
2022-10-20,106489.65424952246
2022-10-21,106506.22934959509
2022-10-24,106522.80702957977
2022-10-25,106539.38728987805
2022-10-26,106555.97013089158
2022-10-27,106572.55555302204
2022-10-28,106589.14355667119
2022-10-31,106605.73414224082
2022-11-01,106622.32731013282
2022-11-02,106638.92306074913
2022-11-03,106655.52139449175
2022-11-04,106672.12231176274
2022-11-07,106688.72581296421
2022-11-08,106705.33189849838
2022-11-09,106721.94056876747
2022-11-10,106738.55182417382
2022-11-11,106755.16566511978
2022-11-14,106771.78209200782
2022-11-15,106788.40110524042
2022-11-16,106805.02270522015
2022-11-17,106821.64689234964
2022-11-18,106838.27366703158
2022-11-21,106854.90302966871
2022-11-22,106871.53498066386
2022-11-23,106888.16952041989
2022-11-24,106904.80664933975
2022-11-25,106921.44636782644
2022-11-28,106938.08867628303
2022-11-29,106954.73357511265
2022-11-30,106971.38106471849
2022-12-01,106988.0311455038
2022-12-02,107004.6838178719
2022-12-05,107021.33908222617
2022-12-06,107037.99693897006
2022-12-07,107054.65738850705
2022-12-08,107071.32043124075
2022-12-09,107087.98606757475
2022-12-12,107104.65429791276
2022-12-13,107121.32512265853
2022-12-14,107137.9985422159
2022-12-15,107154.67455698871
2022-12-16,107171.35316738095
2022-12-19,107188.0343737966
2022-12-20,107204.71817663976
2022-12-21,107221.40457631453
2022-12-22,107238.09357322511
2022-12-23,107254.78516777577
2022-12-26,107271.47936037084
2022-12-27,107288.1761514147
2022-12-28,107304.87554131179
2022-12-29,107321.57753046663
2022-12-30,107338.28211928379
2023-01-02,107354.9893081679
2023-01-03,107371.69909752368
2023-01-04,107388.41148775587
2023-01-05,107405.12647926931
2023-01-06,107421.84407246888
2023-01-09,107438.56426775955
2023-01-10,107455.28706554632
2023-01-11,107472.01246623427
2023-01-12,107488.74047022854
2023-01-13,107505.47107793434
2023-01-16,107522.20428975693
2023-01-17,107538.94010610165
2023-01-18,107555.6785273739
2023-01-19,107572.4195539791
2023-01-20,107589.1631863228
2023-01-23,107605.90942481057
2023-01-24,107622.65826984806
