,Value
2018-08-06,131632.42498704145
2018-08-07,133816.54996724118
2018-08-08,134072.59666442848
2018-08-09,134292.5550449976
2018-08-10,134322.5157528331
2018-08-13,133180.58447507815
2018-08-14,134603.9977305944
2018-08-15,131037.82218503304
2018-08-16,131373.28578405143
2018-08-17,131759.04129549576
2018-08-20,133264.43535693747
2018-08-21,133484.90295449283
2018-08-22,133499.0044795897
2018-08-23,134567.29842393665
2018-08-24,135329.55414140207
2018-08-27,135653.85877836522
2018-08-28,136366.16665116648
2018-08-29,137829.91411168233
2018-08-30,136811.54361329888
2018-08-31,137211.08956178394
2018-09-03,137211.13179836146
2018-09-04,138816.01694398007
2018-09-05,135375.7857930131
2018-09-06,134920.98754742678
2018-09-07,134231.02341419214
2018-09-10,134928.6321208795
2018-09-11,135967.1433755892
2018-09-12,135819.79680616007
2018-09-13,136333.75481188495
2018-09-14,136474.5347610814
2018-09-17,133812.00667208334
2018-09-18,135251.40230901935
2018-09-19,131517.9643888909
2018-09-20,132475.43644578685
2018-09-21,131619.528284243
2018-09-24,132109.43682274764
2018-09-25,133036.9597335733
2018-09-26,132399.3415540744
2018-09-27,131970.78774193904
2018-09-28,131934.66370129708
2018-10-01,130623.23805096136
2018-10-02,129179.06503504148
2018-10-03,129115.93652625993
2018-10-04,126838.47357812032
2018-10-05,125633.99389072946
2018-10-08,123616.03946303738
2018-10-09,123468.63029341196
2018-10-10,117419.8348365957
2018-10-11,115123.30368157795
2018-10-12,118690.23823293026
2018-10-15,116996.69739339323
2018-10-16,120692.26392663879
2018-10-17,120995.27719195043
2018-10-18,118859.98895934777
2018-10-19,117456.61620118197
2018-10-22,119418.24380591133
2018-10-23,116994.34720307085
2018-10-24,111821.35762892767
2018-10-25,115030.27709764203
2018-10-26,110538.34829643932
2018-10-29,108411.52028003766
2018-10-30,111006.99270206259
2018-10-31,113797.12897850774
2018-11-01,115625.24866376765
2018-11-02,112252.92055101639
2018-11-05,112780.71669797994
2018-11-06,112730.10735765095
2018-11-07,117642.62175061248
2018-11-08,117698.5890375568
2018-11-09,115516.67681816389
2018-11-12,112271.56876057234
2018-11-13,111940.08899865708
2018-11-14,110772.15874512013
2018-11-15,111011.26068894776
2018-11-16,111102.99661296068
2018-11-19,104936.71355079385
2018-11-20,103650.12923869344
2018-11-21,104730.04383611571
2018-11-22,104730.14314456868
2018-11-23,104003.37379548584
2018-11-26,107197.12919859814
2018-11-27,107380.44113415043
2018-11-28,112532.27579820485
2018-11-29,112095.21619190012
2018-11-30,112879.32399316212
2018-12-03,114000.88565089481
2018-12-04,112064.916695989
2018-12-05,112064.97348964422
2018-12-06,112350.06192881808
2018-12-07,111754.70375550792
2018-12-10,111891.3883881643
2018-12-11,112003.78513674247
2018-12-12,112226.98495627164
2018-12-13,112371.03155969799
2018-12-14,111545.03086814482
