Date,Strategy,^TA125.TA
2023-07-11,104890.65173599974,98253.2692869598
2023-07-12,106416.49300075306,100036.3169826985
2023-07-13,107920.6978091449,100304.34870450164
2023-07-14,108877.37755932528,100304.34870450164
2023-07-17,108772.48978310954,100172.51074681035
2023-07-18,109316.02446000415,102321.10702748386
2023-07-19,111765.57479078113,104787.85007909856
2023-07-20,112119.91240797241,103835.03903737887
2023-07-21,111405.59567965301,103835.03903737887
2023-07-24,111498.70116086268,102298.76938814539
2023-07-25,108733.99727811836,99224.06216159738
2023-07-26,108041.49078480162,101536.62961618231
2023-07-27,108762.20508766787,101536.62961618231
2023-07-28,108104.94376832129,101536.62961618231
2023-07-31,111120.39798633446,103048.38039782396
2023-08-01,112395.84416059923,102510.14237605044
2023-08-02,112740.62795213803,102396.83155834039
2023-08-03,112618.444503111,101883.65106113588
2023-08-04,112149.52475770318,101883.65106113588
2023-08-07,114743.43902874578,103253.76165811844
2023-08-08,113069.2403117513,102659.9555165735
2023-08-09,113225.49253030606,104130.30286191824
2023-08-10,114052.39920012717,104341.13054275996
2023-08-11,113455.50310563091,104341.13054275996
2023-08-14,111298.17534373958,102202.34313914042
2023-08-15,111271.81080612975,102083.5859008831
2023-08-16,110724.35261807521,101700.06213311655
2023-08-17,110115.56279980122,100900.33607429994
2023-08-18,109081.96487345228,100900.33607429994
2023-08-21,108374.78213533328,101674.4593014842
2023-08-22,109423.76812586685,102308.57826519935
2023-08-23,110864.39569204055,102356.51873617017
2023-08-24,110745.1861557846,102121.17218773664
2023-08-25,109714.07383701982,102121.17218773664
2023-08-28,109831.03207074148,102319.47110629384
2023-08-29,109136.305446175,101397.7159668399
2023-08-30,110181.30437186711,101987.70495894147
2023-08-31,110124.77629698275,102219.23435793164
2023-09-01,109612.09764239588,102219.23435793164
2023-09-04,109160.78377942067,101128.59363091007
2023-09-05,108557.1596403722,101780.68777745699
2023-09-06,109697.07637670106,101809.56245146938
2023-09-07,109708.93805652563,101106.25599157161
2023-09-08,109210.8458112541,101106.25599157161
2023-09-11,110238.73288566258,101933.22745329673
2023-09-12,111743.42603583299,102136.42748533784
2023-09-13,110687.44603352559,101278.95207849646
2023-09-14,109983.831124049,101782.323698647
2023-09-15,110036.89268574533,101782.323698647
2023-09-18,111539.27872340757,101735.47384180286
2023-09-19,111512.68282788573,101567.14021138471
2023-09-20,112658.38153889056,102716.6142504716
2023-09-21,113459.7221505763,102700.81364580705
2023-09-22,113234.68326292942,102700.81364580705
2023-09-25,113473.45927948262,102700.81364580705
2023-09-26,113593.85586619475,101561.68714075132
2023-09-27,113756.15011953468,102031.82828046892
2023-09-28,114478.82684523646,102256.27533772182
2023-09-29,114405.97765499758,102256.27533772182
2023-10-02,114757.5409522618,103831.22188793549
2023-10-03,113382.62403935828,102916.54909021882
2023-10-04,112408.95464097873,101731.11803538229
2023-10-05,112523.36887584736,101414.05522848164
2023-10-06,112165.47672076004,101414.05522848164
2023-10-09,105419.74709544226,95308.76409691304
2023-10-10,103084.64473504794,96666.33928152495
2023-10-11,101884.30722793982,95276.61758052063
2023-10-12,100289.04830657963,94848.42518416328
2023-10-13,99997.01723329854,94848.42518416328
2023-10-16,98610.95216632387,93339.94624490166
2023-10-17,97072.270421859,92972.76838886297
2023-10-18,96260.98758647419,93482.1317366241
2023-10-19,94907.07699373616,91812.39485859546
2023-10-20,94556.55443246251,91812.39485859546
2023-10-23,91000.18706750304,88578.61092153378
2023-10-24,90999.29608348031,89087.97426929491
2023-10-25,90638.26350311533,88817.2226622612
2023-10-26,89335.99798004748,87764.17487217931
2023-10-27,89276.18776039424,87764.17487217931
2023-10-30,90233.79760993915,90408.50847411662
2023-10-31,90281.47389920229,90464.07659388805
2023-11-01,90206.23075748101,91098.74086466654
2023-11-02,90702.20512049895,92843.65696648837
2023-11-03,90879.15983914123,92843.65696648837
2023-11-06,91417.98816536005,93974.06520861681
2023-11-07,91704.32786924257,95246.65894246771
2023-11-08,91920.24128547413,94594.01948885745
2023-11-09,92066.3491962301,94001.30396143919
2023-11-10,92046.56906806392,94001.30396143919
2023-11-13,91526.78047902019,91901.19345879984
2023-11-14,91498.06656474009,93796.46800820806
2023-11-15,92013.94887452862,94052.5096247039
2023-11-16,92012.34842806759,95112.6464066092
2023-11-17,92244.74032189944,95112.6464066092
2023-11-20,92854.28067729485,95809.4091817469
2023-11-21,92444.67936905997,96419.56123501972
2023-11-22,94309.8617790802,98619.36317895794
2023-11-23,94304.65333097591,98825.28309622961
2023-11-24,93933.99260199364,98825.28309622961
2023-11-27,94520.31089857216,98212.95646478957
2023-11-28,95700.44750961682,98677.10587689657
2023-11-29,95860.57315817974,99564.54657187703
2023-11-30,94417.24714977191,97800.01936603342
2023-12-01,93425.88098061776,97800.01936603342
2023-12-04,94380.29810615789,98795.86976524002
2023-12-05,95655.01303555064,99993.28427529772
2023-12-06,96143.38578858163,100119.66916235563
2023-12-07,96005.39647029647,99931.72442791572
2023-12-08,95973.48466174779,99931.72442791572
2023-12-11,94593.66443802208,98842.17431502082
2023-12-12,94561.79201830723,98271.79642694103
2023-12-13,95217.82957011196,98322.4567831424
2023-12-14,96916.01541468521,100718.37641738447
2023-12-15,97835.82263441797,100718.37641738447
2023-12-18,98155.43521562796,101131.32016622677
2023-12-19,99706.88815346446,101950.1120220018
2023-12-20,101000.67270406049,103405.21071983149
2023-12-21,100337.06705655842,102578.78456516971
2023-12-22,100417.35914174099,102578.78456516971
2023-12-25,102067.29937874543,102848.99086514008
2023-12-26,101150.97651409607,101786.14084809038
2023-12-27,101183.6603850381,102733.49881917668
2023-12-28,100933.58335092918,102328.18936922112
2023-12-29,100786.29948761297,102328.18936922112
2024-01-01,103314.21570769663,105084.2045177646
2024-01-02,104600.72707122152,104752.98367747558
2024-01-03,102981.62384655027,103773.47918999685
2024-01-04,102389.49392814412,104309.53598351702
2024-01-05,102407.42782895526,104309.53598351702
2024-01-08,98710.88035684629,103423.18590266326
2024-01-09,97453.04721619417,102978.64759457803
2024-01-10,95850.44111280513,102559.71876821129
2024-01-11,95739.11831415999,102809.22335003321
2024-01-12,95535.88276790315,102809.22335003321
