Date,Strategy,VT,VOO,SPMO,QQQ
2017-07-18,110566.47685298446,99596.27666697702,96948.1984768438,96864.29492400843,100932.63106277258
2017-07-19,111179.97501789893,100131.4369232331,97458.5452583262,96863.71847145053,101523.72863494525
2017-07-20,111883.61273201702,100304.8437241491,97488.45477350692,96863.14202232391,101656.8299817732
2017-07-21,111988.41296553907,100130.88087197834,97419.72896878277,96862.56557662852,101613.75816323112
2017-07-24,111622.85243546116,100130.6028475094,97385.29315007632,96957.80970463106,102077.99500169756
2017-07-25,111667.1341161035,100332.9819782145,97616.80512580292,96957.23269543757,101816.46459059516
2017-07-26,112363.67574542772,100636.59537260662,97646.71430960136,96956.65568967866,102146.88127464676
2017-07-27,112311.36343374042,100390.27249214107,97530.77709269745,96956.07868735431,101504.85120151761
2017-07-28,112246.19963389271,100346.61308113007,97419.14994597876,96955.50168846449,101419.46142657624
2017-07-31,112145.2948084678,100360.81454770609,97363.24841219884,96954.92469300919,100988.867555409
2017-08-01,112858.8774088118,100794.67857756358,97581.87497007013,96954.34770098838,101220.5484230261
2017-08-02,112763.57543521583,100707.55846678358,97637.55211678617,98263.24147569037,101494.52265571884
2017-08-03,112188.88097599898,100576.99893032474,97465.83761756626,98262.65669606968,101099.19517577584
2017-08-04,112371.48474695226,100764.885752099,97628.73819014647,98134.32249705211,101281.60170019169
2017-08-07,112829.34711337228,101010.59154509817,97787.36634996663,98133.7384848063,101921.93715216327
2017-08-08,112243.63951919944,100691.94020893816,97594.1865185267,98133.15447603673,101744.9745183275
2017-08-09,112131.36635133682,100460.13631463106,97538.33052762308,98132.5704707434,101610.32144864391
2017-08-10,110316.94871742647,98925.9243170253,96199.86797089814,97157.90851721088,99432.4205025213
2017-08-11,109285.92723062518,98969.02246467509,96328.41189982236,97157.33031695301,100185.50956255574
2017-08-14,109960.48804966101,99880.45041100352,97272.03186209527,97156.75212013684,101474.02669715304
2017-08-15,109248.35512589238,99778.88854262946,97280.48286466618,97156.17392676229,101543.65118235197
2017-08-16,109800.48219743569,100270.62617454714,97434.78529326053,97155.59573682939,101719.00309095436
2017-08-17,108659.36896861688,98852.1730084761,95920.47754516336,96675.95928924519,99639.84179698485
2017-08-18,108610.97774274736,98967.64848688594,95744.48026286458,96675.38395773275,99568.62392529627
2017-08-21,108872.89853157356,99054.19089256562,95860.17015492737,96674.80862964489,99440.99035325242
2017-08-22,109520.52203272455,99849.84082779656,96829.49877074406,96674.23330498162,100954.94665407843
2017-08-23,109220.76571918948,99733.76814677044,96499.0989812004,96673.65798374289,100594.84039500938
2017-08-24,109090.59154332768,99574.34427658354,96275.94425459825,97200.01017769153,100298.14888740715
2017-08-25,109721.27802252363,99964.78398520291,96486.01596484316,97199.43172682855,100085.9992076167
2017-08-28,109951.04566137036,99950.0404078141,96520.2202640253,97198.85327940872,100395.17241087333
2017-08-29,110044.65567332428,99862.92722637168,96593.01537662411,97198.27483543205,100788.84231354203
2017-08-30,110856.27544348832,100152.0814326297,97073.3275684114,97197.69639489849,101971.63701728849
2017-08-31,111534.52986195534,100774.03585246686,97643.69640302456,97973.13118606714,103062.73714979703
2017-09-01,111912.23373699225,101077.61859492116,97810.84971555145,97972.5481332934,102921.03011385654
2017-09-04,111912.28288813002,101077.61859492116,97810.84971555145,97972.5481332934,102921.03011385654
2017-09-05,111143.14048160649,100397.20582656839,97090.12191663188,97068.2074214184,101997.33151019615
2017-09-06,111693.06590443893,100773.19642176693,97428.87677407713,97067.62975509564,102306.54312075222
2017-09-07,112662.6306513775,101163.6307534013,97407.28818071833,97067.05209221136,102545.23834944292
